"Allen Prout",,,,
"Anthony Lynch",,,,
"Anthony Reeve",,,,
"Augustus Dinnick",,,,
"Bruce Hogan",,,,
"Chris McFarling","Q75975163","2019 United Kingdom general election","Forest of Dean","Green Party of England and Wales"
"Christopher Coleman",,,,
"Colin Palmer",,,,
"David Gayler",,,,
"David Hope Kyd",,,,
"Di Martin","Q76130790","2019 United Kingdom general election","Forest of Dean","Labour Co-operative"
"Dominic Hopkins",,,,
"Edward Wyndham",,,,
"Ernie Warrender","Q98544473","2015 United Kingdom general election","Weston-super-Mare","UK Independence Party"
"Frederick Louis Lucas",,,,
"Gerald Morgan",,,,
"H Terrell",,,,
"Isabel Owen",,,,
"James Greenwood",,,,
"Janet Ellard",,,,
"John Brown",,,,
"John Henry Renton",,,,
"Joseph W Westwood",,,,
"Julian Burrett","Q76509458","2019 United Kingdom general election","Forest of Dean","independent politician"
"Maynard Wemyss",,,,
"Patricia Hill",,,,
"Shaun Stammers",,,,
"Simon Pickering",,,,
"Stephen Tweedie",,,,
"Steve Parry-Hearn",,,,
"Steve Stanbury",,,,
"W.H. West",,,,
"William Mitchell-Cotts",,,,
